Portfolio Manager ID,Property Name,Address,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes
3965468,Allegheny Business Center,2233 West Allegheny Avenue,19132,Adult Education,87756,1915,1,884558100,1161103.6,774906.4,Not Available,Not Available,Not Available,22.1,50.8,5.6,188.1,
3999203,Art Institute of Philadelphia,1618 - 1622 Chestnut Street,19103,Adult Education,79480,1931,1,772509500,7329927.9,Not Available,Not Available,1073596,Not Available,105.7,305.8,1917.7,1052.5,
3875830,Center One,9880 Bustleton Ave,19115,Ambulatory Surgical Center,79485,1980,1,778025205,7748344.9,Not Available,Not Available,Not Available,Not Available,97.5,306.1,1405.2,981.2,
3633488,Pacifico Ford,6701 Essingtion ave,19153,Automobile Dealership,55000,1970,1,882167505,2949703.3,Not Available,Not Available,Not Available,Not Available,53.6,168.4,217.1,373.5,
3681794,CCP Main Campus-West,1700 Spring Garden St,19130,College/University,556554,1982,5,772534700,3478701.2,4723614.8,Not Available,Not Available,Not Available,14.7,28.5,1294,691.2,
3696900,4140 Woodland,4140 Woodland Ave,19104,College/University,70000,1920,1,773499500,2005814.5,0,Not Available,Not Available,Not Available,28.7,90,193,254,
3681795,Center for Business & Industry,1751 Callowhill St,19130,College/University,177480,2003,1,772535700,4499336.2,990462.3,Not Available,Not Available,Not Available,30.9,85.5,824.8,622.4,
3958445,Pearson/Mcgonigle,1800-38 N. Broad St.,19122,College/University,449750,1969,1,777508500,17262137.1,141372.2,Not Available,0,Not Available,38.7,120.8,9075.7,2193.5,
3751369,Lutheran Theological Seminary of Philadelphia,7301 Germantown Ave.,19119,College/University,259257,1889,6,775515000,5592626.3,5640290.1,95675.4,Not Available,Not Available,43.7,91,1760.2,1014.6,
3637470,Stevenson Lane Residence,9801 Frankford Avenue,19114-2009,College/University,67430,2009,1,778503000,1701047.1,1563756.2,Not Available,Not Available,Not Available,48.4,103.6,1142.8,298.4,
3875824,23-Hess Building,3400 Lancaster Ave,19104,College/University,54223,1900,1,774522040,2064437.4,937479.8,Not Available,Not Available,Not Available,55.4,137.7,398.5,311.2,
3893000,West Philadelphia Regional Center,4725 Chestnut Street,19139,College/University,39090,1992,3,774571000,1093461.4,1144399.7,Not Available,Not Available,Not Available,57.2,118.6,147.5,199.2,
3762582,81-3201 Arch Street,3201-21 Arch Street,19104,College/University,72479,1920,1,774513500,3557832.3,688517,Not Available,Not Available,Not Available,58.6,164.1,1031.6,487.1,
2858208,Anderson Hall,329-35 South Broad Street,19102,College/University,138123,1916,1,771500000,5109081,3031712.2,Not Available,Not Available,Not Available,58.9,139.2,745.6,807.9,
3681797,Northeast Regional Center,12901 Townsend Road,19154,College/University,109110,1995,1,772537500,4877423.3,1763252.5,Not Available,Not Available,Not Available,60.9,157.3,642.7,711.3,
3956655,Liacouras Center Forum,1776 N. Broad St.,19121,College/University,270316,2000,1,777508005,8611533.2,Not Available,Not Available,Not Available,Not Available,62,136.3,15063.9,1811.2,
3762539,"15,16,90-Haggerty/General Service/Law",3300-3350 Market Street,19104,College/University,237906,1971,3,774530700,14937555.2,82987.6,Not Available,11302.4,Not Available,63.2,197.6,11357.4,1897,
3637394,Campus Center,9801 Frankford Avenue,19114-2009,College/University,89596,1988,1,778503000,2260229.2,3613027.2,Not Available,Not Available,Not Available,65.6,121.6,1105.1,478,
3884090,Chestnut Hill College/ Mount Saint Josephs Convent,9601/9701 Germantown Ave,19118,College/University,962359,1875,14,775518010,23311476.6,44451873.2,0,Not Available,Not Available,70.4,124.6,9088.9,5311.3,
3957997,1700 N. BROAD,1700 N. BROAD,19121,College/University,84360,2000,1,777505000,4019755.7,799944.8,Not Available,Not Available,Not Available,71.2,176.5,2692.7,656.6,
3778264,"Chestnut Hill College, Sugarloaf Hill",9230 Germantown Ave,19118,College/University,50171,1929,5,775519500,1821349.5,1871960,Not Available,Not Available,Not Available,73.6,153.2,1020.3,330,
3762580,71-URBN Center,3501 Market Street,19104,College/University,162000,2008,1,774688700,10152651.7,2149641.4,Not Available,Not Available,Not Available,75.9,210.7,1143.8,1399.8,
2917145,Terra Hall,201-11 South Broad Street,19107,College/University,273901,1911,1,772505410,13060941.5,391621.3,Not Available,7505389.6,Not Available,76.5,184.2,7020.5,2339.3,
3955822,PODIATRIC - UNIVERSITY,800 RACE STREET,19107,College/University,146805,2000,1,771524000,8503533.1,10099.6,Not Available,3218527,Not Available,79.9,208.3,2905.9,1362.3,
3681796,Northwest Regional Center,1300 W Godfrey Ave,19141,College/University,81018,1965,1,776554000,4052862.3,42059.9,2415000,Not Available,Not Available,80.4,187.7,3553.1,694.6,
2851911,Gershman Hall,401-11 South Broad Street,19147,College/University,75000,1923,0,771637200,2798636.7,3366615.9,Not Available,Not Available,Not Available,82.2,164.3,780.5,533.1,
3956647,IBC REC CTR,1449 C.B. MOORE,19121,College/University,69093,2000,1,777572705,2931634.8,Not Available,Not Available,Not Available,Not Available,83.4,182.5,4911.6,621.9,
3885150,DUMed-1427 Vine Street Building,1427 Vine Street,19102,College/University,77304,1940,1,772028000,4277795,2389022.1,Not Available,Not Available,Not Available,86.2,206.2,1462.9,668.5,
2858581,Merriam Theater,250 South Broad Street,19102,College/University,77964,1918,1,772505500,3923523.6,2904777.2,Not Available,Not Available,Not Available,87.6,197.1,3727.1,651.1,
3634201,Peirce College,1420 Pine St.,19102,College/University,94151,1898,1,772513020,5585126.7,2821682.5,Not Available,Not Available,Not Available,89.3,217.7,801.1,857.1,
3681793,CCP Main Campus-East,1600 Spring Garden St,19130,College/University,503960,1982,4,772534600,37728428.8,7807806.4,Not Available,Not Available,Not Available,90.4,251.3,8288.7,5192.2,
3696901,Griffith Hall,4247 Woodland Ave,19104,College/University,113332,1928,1,773500500,9737697.9,663224.5,Not Available,Not Available,Not Available,91.8,275.9,1097.4,1268.4,
3772776,Lenfest Hall,1616 Locust St.,19103,College/University,94747,2011,1,881030550,5511847.2,3591002.7,Not Available,Not Available,Not Available,96.1,222.5,2432.9,888.6,
3885158,DUMed-219 North Broad St,219 North Broad Street,19102,College/University,88962,1955,1,771004500,5550078.6,3641244.3,Not Available,Not Available,Not Available,103.3,238.9,1487.8,896,
3762572,"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",101 North 33rd Street,19104,College/University,117168,1926,4,774551000,5035897,862678.9,Not Available,6200507.5,Not Available,103.3,206.4,1867.5,1232.5,
3979389,GITTIS STUDENT CENTER,1755 N. 13TH,19122,College/University,220700,2000,1,777569000,5926299.4,1825122.6,Not Available,6152681.8,Not Available,105.7,169.3,3545.8,1889.1,
3983811,GLADFELTER,1115 W. POLETT WALK,19122,College/University,181566,2000,1,777568800,5321706.6,7762.5,Not Available,8922762.1,Not Available,106.8,179.5,4329.1,1735.1,
3696855,Athletic Recreation Center (ARC),4310 Woodland Ave,19104,College/University,78800,2003,1,773502090,8494146.7,48082.6,Not Available,Not Available,Not Available,108.4,339.1,6661.5,1078.3,
3696770,Science and Technology Center (STC),4320 Woodland Ave,19104,College/University,78000,2007,1,773502090,8508190.5,2345.7,Not Available,Not Available,Not Available,109.1,342.5,3069.1,1077.6,
3762535,13-Nesbitt,3201-47 Market Street,19104,College/University,89077,1970,1,774528000,4961658.7,3467.2,Not Available,5111395.2,Not Available,113.1,244,3502.6,1081.1,
3879942,Mandeville Hall (MV),5600 City Avenue,19131,College/University,89373,1997,1,774502000,5991581.2,4123410.6,Not Available,Not Available,Not Available,113.2,259,686.7,977.6,
3983809,Alter Hall,1801 Liacouras Walk,19122,College/University,217526,2000,1,777509000,7525391.2,Not Available,Not Available,8220690.2,Not Available,113.5,195.2,2191,2152.3,
3820168,Moore College of Art and Design  Peter Hall,1920-1934 Race Street,19103,College/University,110000,1957,2,772521000,5387213.6,7117704.1,Not Available,Not Available,Not Available,113.7,116.9,3157.8,377.8,
3619585,Philadelphia University,4201 Henry Ave,19144,College/University,635839,1960,19,775501010,32499439.9,32874823.3,7479351.5,Not Available,Not Available,114.6,226.7,25442,6415.4,
3635047,Samuel MV Hamilton Building,128 N. Broad Street,19102,College/University,240000,1905,1,772724100,14534557,12979808.7,Not Available,Not Available,Not Available,114.6,246.9,3149.6,2529.5,
3862659,"1,2,3,4-Main,Randell,Curtis,Alumni",3101 Chestnut Street,19104,College/University,333089,1891,4,774516000,25909281.3,3102.7,Not Available,13008298.9,Not Available,116.8,291.2,16192.5,4433,
3762549,"27,27A-LeBow / CAT Engineering",3100-16 Market Street,19104,College/University,128347,1989,2,774525000,9983675.8,Not Available,Not Available,5060198.5,Not Available,117.2,291.7,12479,1712.3,
3966438,ECEC,1710-50 N. 15th Street,19122,College/University,58020,2000,1,777573005,5907236.5,134574.2,Not Available,Not Available,Not Available,130.1,353.4,72.6,888.6,
3893235,La Salle #4,1924 W Olney Ave.,19144,College/University,757521,1899,16,776515000,39116328.1,59980078.8,Not Available,Not Available,Not Available,130.8,245.3,30508.2,8136.9,
3637411,Education Technology Center,9801 Frankford Avenue,19114-2009,College/University,62000,2005,1,778503000,4755072.4,4179025.3,Not Available,Not Available,Not Available,144.1,311.6,Not Available,824,
3856018,"5,6,12,53,58-Quad Buildings",3201 Chestnut Street,19104,College/University,404816,1898,5,774518010,34865658.5,213056.3,Not Available,23336646.7,Not Available,144.3,340.3,6480.7,6492.8,
3966440,PALEY,1210 W. BERKS,19122,College/University,184644,2000,1,777570200,10650776.4,4110.6,Not Available,9852887.5,Not Available,146.6,280.9,1059.1,2567.1,
3955737,DENTAL SCHOOL (ORIG),3223 N BROAD ST,19140,College/University,203374,2000,1,777527000,15603441.1,824,Not Available,14838256.2,Not Available,149.7,328.7,13997.9,3289.7,
3957996,KLEIN,1719 N. BROAD,19122,College/University,186123,2000,1,777507000,8960976.5,8352.4,Not Available,4248252.2,Not Available,151.3,258.9,2054.4,2298.5,
3983897,1810 LIACOURAS WALK,1810 Liacouras Walk,19122,College/University,74630,2000,1,777509000,2921818.4,Not Available,Not Available,5334792,Not Available,156,254.3,1144,1020.8,
3955736,KORNBERG DENTISTRY,3201 N BROAD ST,19140,College/University,133302,1980,1,777526000,11267741,Not Available,Not Available,9892170.9,Not Available,158.7,354.7,9177.4,2302.8,
3879924,Aggregate Non-Residential Excluding MV,5600 City Avenue,19131,College/University,666000,1927,1,774502000,39648293,69143260.3,Not Available,Not Available,Not Available,163.4,295.9,16885,8980,
3820182,Moore College of Art and Design   Wilson Hall,1916 Race Street,19103,College/University,63000,1963,2,772688010,4207357.7,Not Available,Not Available,6227596,Not Available,165.6,328.6,1268.1,1084.2,
3965855,ANDERSON,1114 W. POLETT WALK,19122,College/University,207802,2000,1,777568800,12681994.6,13713,Not Available,14984700.2,Not Available,170.4,315.6,801.6,3340.7,
3956098,BARTON,1900 N. 13TH,19122,College/University,152006,2000,1,777512040,5367523,3567.5,Not Available,15295139.5,Not Available,171.2,267.2,9167.9,2316.2,
3983896,ENGINEERING,1947 N. 12TH,19122,College/University,160325,2000,1,777568800,9705478.4,32454.4,Not Available,12119099.8,Not Available,174.7,319.6,173.1,2628.3,
3965450,ANNENBERG and TOMLINSON THEATER,2020 N. 13TH,19122,College/University,120576,2000,1,777570800,8042821,44439.8,Not Available,13428918.1,Not Available,178.4,343.8,6862.4,2209.9,
3762531,8-Creese,3200-3246 Chestnut Street,19104,College/University,64611,1962,1,774517051,5609942.2,1131656.3,Not Available,4860011.4,Not Available,179.6,381.5,207.2,1200.8,
3762532,"9B,9A,9C-MacAlister /Mandell / Handschumacher",3250-60 Chestnut Street,19104,College/University,167003,1973,1,774517200,16468628.7,1122762.3,Not Available,12586054.4,Not Available,180.7,407.4,7830.4,3259.5,
3762530,"7,7A-Bossone / Commonwealth",3118-38 Market Street,19104,College/University,176360,2004,2,774526000,13750308.8,11788712.1,Not Available,6388458.4,Not Available,181,358.6,4926.2,2932.6,
3979397,CARNELL HALL,NE CORNER BROAD AND MONTGOMERY,19122,College/University,75931,2000,1,777509000,3814725.2,Not Available,Not Available,4140791.9,Not Available,185,303.6,1398,1170.9,
3979395,SPEAKMAN,1801 N. 13TH,19122,College/University,110605,2000,1,777509000,2918583.9,721,Not Available,8710230.2,Not Available,185.4,257.9,16.8,1608.6,
3958447,RITTER ANNEX,1301 C.B. MOORE,19122,College/University,153050,2000,1,777540000,5357682.8,1854,Not Available,12097607.7,Not Available,187.4,278.3,1269.3,2341.1,
3983813,WEISS,1701 N. 13TH,19122,College/University,159000,2000,1,777568900,4553897.5,1854,Not Available,14327999.9,Not Available,199,278.6,3785.4,2518,
3958446,RITTER HALL,1301 C.B. MOORE,19122,College/University,111090,2000,1,777570000,2196181.6,6180,Not Available,11286882.1,Not Available,205.2,268.1,94.8,1768,
3979396,CONWELL HALL,NE CORNER BROAD AND MONTGOMERY,19122,College/University,67644,2000,1,777509000,3398396,2678,Not Available,5541354,Not Available,212.4,336.6,9256.1,1207.2,
3956656,MITTEN,1913 N. BROAD,19122,College/University,112771,2000,1,777512010,6068027,717451.2,Not Available,13422948,Not Available,213.6,353.3,9457.4,2199.7,
3885006,DUMed-Queen Lane Campus,2900 Queen Lane,19129,College/University,262839,1988,1,774010200,32000455.4,26005476.3,Not Available,Not Available,Not Available,220.7,486.2,8912.4,5432.6,
3963378,PRESSER,2001 N. 13TH,19122,College/University,54792,2000,1,777570600,922632.1,Not Available,Not Available,8033231.8,Not Available,222.5,288.3,1167.8,998.7,
3966439,TUTTLEMAN LEARNING CENTER,12TH STREET,19122,College/University,117253,2000,1,777570200,6742930.9,Not Available,Not Available,10933458,Not Available,226.9,368.9,7739.9,2292.4,
3983812,NEW TYLER SOA,2020 N. 12th Street,19122,College/University,233240,2000,1,777570600,20448262.7,5141909.5,Not Available,12884454.3,Not Available,234.6,434.5,2520.9,4858.7,
3983810,WACHMAN HALL,1819 N. BROAD ST.,19122,College/University,130655,2000,1,777509000,9058338,2163,Not Available,11575829.7,Not Available,238.2,404.6,13722.2,2724.7,
3979390,STUDENT CTR II,"13th St., 1800 block",19122,College/University,86182,2000,1,777569000,5349538.3,Not Available,Not Available,4198104,Not Available,251.4,394.1,1384.4,1687.8,
3675619,Philadelphia College of Osteopathic Medicine,4190 City Ave,19131,College/University,409268,1972,4,774010040,26890773.8,76905834.1,Not Available,Not Available,Not Available,253.6,403.6,17056.6,7486.9,
3998046,OLD MED SCHOOL,3400 N. Broad Street,19140,College/University,155228,2000,1,777530000,16090203.8,11976.1,Not Available,23390422.2,Not Available,254.4,506.8,2104.2,4109.2,
3995355,KRESGE SCIENCE HALL,3440 N. Broad Street,19140,College/University,129260,2000,1,777531100,14584576.9,11948,Not Available,18910847,Not Available,259.2,530.4,6307,3521.9,
